Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
2 GB Ki Life,2019.0,121.0,Drama,5.841621416845562,Unknown,Unknown,Unknown,Unknown
2 Little Indians,2013.0,128.0,"Comedy, Family",5.6,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,2012.0,80.0,"Adventure, Horror, Mystery",6.8,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 October,2003.0,122.0,"Action, Crime, Thriller",5.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 Piece,2005.0,121.0,Drama,5.841621416845562,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
2 States,2014.0,149.0,"Comedy, Drama, Romance",6.9,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2.0,2018.0,148.0,"Action, Sci-Fi",6.2,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001: Do Hazaar Ek,1998.0,149.0,"Crime, Mystery, Thriller",3.5,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2006 Varanasi: The Untold,2018.0,121.0,Drama,5.841621416845562,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
2007 the last encounter,2018.0,121.0,Drama,5.841621416845562,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
2016 the End,2017.0,130.0,Comedy,6.1,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
21: Battle of Saragarhi,2019.0,134.0,War,5.841621416845562,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
22 Days,2018.0,124.0,Thriller,6.1,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,1979.0,121.0,"Drama, History",7.7,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,2019.0,126.0,Sport,6.1,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,2002.0,188.0,"Biography, Drama, History",5.1,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
24 Ghante,1998.0,108.0,Thriller,5.841621416845562,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
25th July,1951.0,142.0,Other,7.6,Chitra Mitra,Unknown,Unknown,Unknown
26 January,1956.0,142.0,Other,6.6,Ramesh Saigal,Ajit,Unknown,Unknown
26th January,1956.0,121.0,Drama,5.841621416845562,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
26th July at Barista,2008.0,121.0,Drama,3.1,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,1974.0,115.0,Drama,6.9,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,2014.0,103.0,"Horror, Romance",5.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,2012.0,114.0,"Comedy, Romance",3.3,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Days 4 Nights in Bihar,2020.0,124.0,Comedy,5.841621416845562,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
3 Deewarein,2003.0,115.0,"Crime, Drama",7.8,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
